Designator,Footprint,Quantity,Value,LCSC Part #
AE1,2450AT18D0100001E_L,1,Antenna_Chip,
C1,0402,1,10uF,
"C11, C14, C17, C4",0201,4,4.7uF,
C12,0201,1,0.1uF,
"C13, C6",0201,2,2.2uF,
C15,0201,1,1.5pF,
"C16, C19",0402,2,22uF,
C18,0201,1,1.2pF,
"C2, C21, C8, C9",0201,4,100nF,
C23,0201,1,0.47uF,
"C3, C7",0201,2,DNP,
C5,0201,1,1.0pF,
"D6, D7",D_SOD-882,2,D,
FB1,0201,1,FerriteBead,
J1,USB_C_Receptacle_Amphenol_124019772112A,1,USB_C_Receptacle_USB2.0_16P,
JP1,0603,1,Jumper_2_Open,
L1,0201,1,3.3nH,
L3,0603,1,1.5uH,
L4,0201,1,4.7nH,
L5,0201,1,3.6nH,
L6,0603,1,4.7uH,
L7,0201,1,1.0nH,
Q1,PDFN-6_L2.0-W2.0-P0.65-BL-EP-1,1,SP2038CNQ,C41355091
"R1, R2",0201,2,5.1k,
R12,0201,1,10k,
R14,0201,1,220k,
R15,0201,1,68k,
R16,0201,1,2.2,
R17,0201,1,200,
R3,0201,1,470k,
"R4, R5",0201,2,30,
R6,0201,1,2k,
R7,0201,1,1k,
R8,0201,1,806k,
R9,0201,1,2M,
U1,QFN-52-1EP_6x6mm_P0.4mm_EP4.7x4.7mm_ThermalVias,1,nRF54LM20A-QGAA,
U2,WLCSP-6_L1.2-W0.9-R3-C2-P0.40-TL,1,SGM40567-4.2XG/TR,C5141336
U5,SOT-23-6,1,FH9261-G3JH,
U6,BD83070GWL,1,BD83070GWL-E2,
Y1,Crystal_SMD_1210-4Pin_1.2x1.0mm,1,32MHz,
Y2,Crystal_SMD_1210-4Pin_1.2x1.0mm,1,32.768kHz,
