Designator,Mid X,Mid Y,Rotation,Layer
AE1,79.57,-67.08,180.0,top
C1,88.7,-55.0,90.0,top
C11,85.92,-54.58,180.0,top
C12,83.06,-66.49,0.0,top
C13,87.32,-54.58,180.0,top
C14,78.04,-52.835,90.0,top
C15,79.0,-58.72,180.0,top
C16,83.09,-67.3,180.0,top
C17,79.49,-55.57,0.0,top
C18,79.0,-57.33,180.0,top
C19,90.21,-47.64,180.0,top
C2,88.47,-57.76,0.0,top
C21,78.04,-50.72,270.0,top
C23,88.46,-62.47,270.0,top
C4,84.45,-65.09,180.0,top
C5,83.05,-64.39,180.0,top
C6,84.45,-64.39,0.0,top
C8,88.47,-59.86,0.0,top
C9,88.47,-59.16,0.0,top
D6,87.51,-62.67,270.0,top
D7,89.77,-59.41,90.0,top
FB1,84.45,-63.69,180.0,top
FB2,89.6,-48.8,270.0,top
J1,83.82,-48.65,180.0,top
JP1,76.49,-47.89,0.0,top
L1,77.95,-59.425,270.0,top
L3,89.54,-63.19,90.0,top
L4,77.95,-58.025,270.0,top
L5,77.95,-56.625,270.0,top
L6,83.25,-62.83,180.0,top
L7,83.05,-63.69,0.0,top
Q1,85.35,-66.8,270.0,top
R1,85.92,-53.88,0.0,top
R12,78.04,-49.32,270.0,top
R14,81.72,-53.875,0.0,top
R15,81.72,-54.58,0.0,top
R16,87.32,-53.88,180.0,top
R17,83.12,-54.58,0.0,top
R2,83.12,-53.88,180.0,top
R3,80.67,-54.93,270.0,top
R4,84.87,-54.27,270.0,top
R5,84.17,-54.27,270.0,top
R6,88.46,-63.87,90.0,top
R7,83.06,-65.79,0.0,top
R8,88.47,-57.055,180.0,top
R9,88.47,-56.36,180.0,top
U1,84.32,-58.42,270.0,top
U2,78.68,-54.3,0.0,top
U3,83.82,-52.5883,0.0,top
U4,85.93,-64.09,0.0,top
U5,88.7575,-66.37,180.0,top
U6,88.72,-60.96,90.0,top
Y1,80.05,-59.99,0.0,top
Y2,86.09,-62.79,0.0,top
